tag,name,notes
203B UW,,Cow · Heifer · Active
140Y UW,,Cow · Heifer · EID 140-368 · Active
23 X,,Cow · Heifer · EID 133-361 · Active
110Y UW,,Cow · Heifer · EID 110-338 · Active
97,,Cow · Heifer · EID 120-348 · Active
146Y UW,,Cow · Heifer · EID 146-374 · Active
113Y UW,,Cow · Heifer · EID 113-341 · Active
62 X,,Cow · Heifer · EID 143-371 · Active
47 X,,Cow · Heifer · EID 139-367 · Active
131Y UW,,Cow · Heifer · EID 131-359 · Active
141Y UW,,Cow · Heifer · EID 141-369 · Active
114,,Cow · Heifer · EID 111-339 · Active
69,,Cow · Heifer · EID 137-365 · Active
102,,Cow · Heifer · EID 104-332 · Active
111,,Cow · Heifer · EID 138-366 · Active
133 X,,Cow · Heifer · EID 169-397 · Active
66 X,,Cow · Heifer · EID 149-377 · Active
121,,Cow · Heifer · EID 122-350 · Active
136Y UW,,Cow · Heifer · EID 136-364 · Active
16,,Cow · Heifer · Active
114Y UW,,Cow · Heifer · EID 114-342 · Active
118 X,,Cow · Heifer · EID 184-412 · Active
122,,Cow · Heifer · Active
135,,Cow · Heifer · EID 150-378 · Active
32 X,,Cow · Heifer · EID 134-362 · Active
116,,Cow · Heifer · EID 127-355 · Active
172Y UW,,Cow · Heifer · EID 172-400 · Active
92 X,,Cow · Heifer · EID 121-349 · Active
36,,Cow · Heifer · EID 151-379 · Active
11 X,,Cow · Heifer · EID 123-351 · Active
76 X,,Cow · Heifer · EID 119-347 · Active
83 X,,Cow · Heifer · Active
50 X,,Cow · Heifer · EID 130-358 · Active
142Y UW,,Cow · Heifer · EID 125-353 · Active
68,,Cow · Heifer · EID 128-356 · Active
13,,Cow · Heifer · Active
45 X,,Cow · Heifer · Active
71 X,,Cow · Heifer · EID 147-376 · Active
115,,Cow · Heifer · EID 132-360 · Active
109 X,,Cow · Heifer · EID 118-346 · Active
48,,Cow · Heifer · Active
77,,Cow · Heifer · EID 124-352 · Active
